Country or area	ISO Code	Data source category	Reference date (dd/mm/yyyy)	Average household size (number of members)	1 member	2-3 members	4-5 members	6 or more members	Female head of household (percentage of households)	Under 20 years (aged 0-19)	Aged 20-64 years	Aged 60 years or over	Aged 65 years or over	Under 15 years (aged 0-14)	Under 18 years (aged 0-17)	Under 20 years (aged 0-19)	Aged 60 years or over	Aged 65 years or over	Under 15 years AND 60 years or over	Under 15 years AND 65 years or over	Under 18 years AND 60 years or over	Under 18 years AND 65 years or over	Under 20 years AND 60 years or over	Under 20 years AND 65 years or over	Under age 15 years among all households	Under age 15 years among households with at least one member under age 15 years	Under age 20 years among all households	Under age 20 years among households with at least one member under age 20 years	Ages 20-64 years among all households	One-person	Couple only	Couple with children	Single parent with children	Single mother with children	Single father with children	Extended family	Non-relatives	Unknown	Nuclear	Multi-generation	Three generation	Skip generation
Afghanistan	4	DHS	19/10/2015	8.04	0.19	6.45	16.84	76.52	1.67	0.63	88.46	17.82	10.90	92.48	94.81	96.49	27.12	17.24	23.68	14.81	24.66	15.47	25.37	15.98	3.75	4.05	4.69	4.86	3.14	0.19	1.97	49.80	0.99	0.78	0.21	46.86	0.19	0.00	52.77	50.39	32.18	0.07
Guadeloupe	312	DYB	01/07/2015	2.30	34.52	47.03	16.42	2.03	42.35	0.41	72.56	36.62	27.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.52	14.99	20.41	21.17	NA	NA	NA	NA	8.92	56.56	NA	NA	NA
Japan	392	DYB	01/07/2015	2.33	34.53	45.45	17.76	2.25	25.29	0.70	61.82	44.12	35.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.53	20.10	26.79	8.90	NA	NA	NA	NA	9.67	55.79	NA	NA	NA
Kenya	404	DHS	26/07/2015	3.64	21.60	31.06	27.84	19.49	36.07	1.03	86.26	16.79	11.63	62.16	64.98	67.25	18.09	12.84	9.83	6.68	10.77	7.45	11.30	7.86	1.54	2.44	1.86	2.72	1.62	21.60	5.44	29.62	14.91	13.08	1.83	23.89	4.50	0.04	49.97	15.40	9.96	4.62
Malawi	454	DHS	17/12/2015	4.51	6.45	28.10	35.56	29.90	30.61	1.58	85.31	18.18	12.83	82.11	85.27	87.34	21.07	15.52	14.39	10.48	15.64	11.38	15.98	11.64	2.14	2.60	2.60	2.96	1.72	6.45	4.71	38.58	12.30	11.38	0.91	35.46	2.51	0.00	55.59	17.31	13.00	8.77
Martinique	474	DYB	01/07/2015	2.25	35.51	47.64	14.89	1.96	42.58	0.28	70.49	38.92	29.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.51	15.50	18.60	20.82	NA	NA	NA	NA	9.56	54.92	NA	NA	NA
Nigeria	566	DHS	31/10/2015	4.90	11.51	25.53	27.86	35.10	14.59	0.93	83.42	20.94	13.86	72.18	75.62	77.55	23.51	16.03	14.58	9.53	15.73	10.26	16.24	10.58	2.29	3.10	2.68	3.38	2.02	11.51	5.93	42.14	6.92	5.30	1.62	32.04	1.46	0.00	54.99	21.32	9.86	2.77
Republic of Korea	410	DYB	01/07/2015	2.53	27.23	47.59	23.70	1.48	29.57	0.33	80.21	27.85	19.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.23	15.60	32.18	10.78	NA	NA	NA	NA	14.21	58.57	NA	NA	NA
Réunion	638	DYB	01/07/2015	2.64	26.30	46.91	22.87	3.92	33.67	0.79	81.22	26.15	17.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.30	15.54	29.93	18.85	NA	NA	NA	NA	9.37	64.33	NA	NA	NA
Rwanda	646	DHS	19/01/2015	4.26	8.15	30.76	34.88	26.20	31.03	0.60	87.51	17.72	11.86	76.95	80.87	83.45	18.68	12.62	11.10	7.17	12.71	8.29	13.46	8.76	1.84	2.39	2.26	2.71	1.85	8.15	3.23	42.38	14.66	13.50	1.17	22.87	8.71	0.00	60.27	21.27	10.92	5.33
Saint-Barthélemy	652	DYB	01/07/2015	2.42	23.43	57.27	18.04	1.25	19.30	0.25	86.09	20.55	13.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.43	26.69	25.19	5.39	NA	NA	NA	NA	19.30	57.27	NA	NA	NA
Saint-Martin (French part)	663	DYB	01/07/2015	2.56	29.33	46.11	20.58	3.97	38.49	0.16	87.19	21.17	12.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.33	13.45	23.95	21.12	NA	NA	NA	NA	12.15	58.51	NA	NA	NA
Senegal	686	DHS	20/06/2015	8.32	7.22	11.06	17.88	63.83	30.39	0.23	82.06	28.81	17.68	83.52	85.95	87.16	41.62	29.70	36.84	27.23	38.20	28.00	38.72	28.27	3.77	4.50	4.59	5.26	3.38	7.22	1.37	15.01	7.09	6.39	0.70	62.36	6.94	0.01	23.47	50.33	37.10	1.85
Slovenia	705	DYB	01/07/2015	2.47	32.60	43.69	20.54	3.16	46.85	0.21	69.05	41.51	30.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.60	14.15	28.88	13.17	NA	NA	NA	NA	11.20	56.19	NA	NA	NA
United Republic of Tanzania	834	DHS	17/11/2015	4.85	9.63	25.77	29.99	34.60	24.48	0.51	85.64	20.17	13.85	77.34	80.35	82.45	24.27	17.62	16.80	11.79	17.95	12.66	18.55	13.13	2.21	2.86	2.70	3.27	1.95	9.63	5.62	35.40	7.30	6.12	1.18	31.04	11.00	0.00	48.33	22.64	17.68	5.83
United States of America	840	IPUMS	01/07/2015	2.49	27.89	49.49	18.81	3.81	49.77	0.27	75.19	33.84	24.53	27.22	31.44	33.68	38.01	28.09	2.52	1.57	3.17	1.95	3.57	2.18	0.49	1.79	0.64	1.91	1.47	27.89	24.79	23.82	9.13	7.39	1.73	9.02	5.36	0.00	57.73	15.70	3.91	1.01
Zimbabwe	716	DHS	27/09/2015	4.08	12.37	31.14	33.76	22.72	40.55	1.94	84.29	20.00	13.77	73.35	77.35	79.76	22.89	16.20	15.18	10.38	16.38	11.25	17.00	11.76	1.75	2.39	2.17	2.72	1.71	12.37	4.42	25.75	12.28	11.04	1.25	39.94	5.20	0.03	42.46	19.51	15.58	8.21
